platte_lat,platte_long,significant_marker
39.74508,-105.015659,furthest_north
39.740467,-105.017396,colfax
39.734828,-105.017093,
39.729358,-105.016777,eighth
39.725444,-105.015816,sixth
39.724054,-105.015393,
39.721401,-105.009519,
39.715711,-105.002454,
39.7112,-105.000099,alameda
39.70409,-104.996574,segregate_to_santafe
39.699556,-104.992563,
39.696665,-104.992419,mississippi
39.692405,-104.994413,
39.689656,-104.999487,
39.682225,-105.001369,~jewell
39.679633,-104.99836,
39.672984,-104.997403,
39.668661,-104.999207,
39.666814,-105.00411,
39.658986,-105.002666,
39.655784,-105.005685,
39.653612,-105.006164,hampden
39.651415,-105.007689,
39.650527,-105.012788,
39.645829,-105.014868,furthest_south
