side_of_platte,intersection,latitude,longitude,maintitle,maintitle_code,subtitle(optional),subtitle_code
west,Sheridan_&_Mississippi,39.696934,-105.053781,Sol Maya Tattoo,spangl,,
west,Sheridan_&_Mississippi,39.696826,-105.054102,Alameda Burrito,spangl,,engl
west,Sheridan_&_Mississippi,39.696899,-105.053398,Poncho's Family mexican Restaurant,spangl,,transl
west,Sheridan_&_Mississippi,39.696678,-105.053415,7 Eleven; Fast Cash Pawn,engl,,
west,Sheridan_&_Mississippi,39.696781,-105.052643,uHaul,engl,,engl
west,Federal_&_Jewell,39.682296,-105.024858,Newbarry's,engl,,engl
west,Federal_&_Jewell,39.68201,-105.024914,Coin Laundry/Lavanderia,transl,,transl
west,Federal_&_Jewell,39.682248,-105.025344,Mcdonald's,engl,,engl
west,Federal_&_Jewell,39.682458,-105.025217,Speedy Cash,engl,,engl
west,Federal_&_Jewell,39.682669,-105.025095,Cheerio's lounge,engl,,
west,Sheridan_&_Alameda,39.711681,-105.052911,Flowers,engl,,engl
west,Sheridan_&_Alameda,39.711681,-105.052866,Taxes Unidos,spangl,,engl
west,Sheridan_&_Alameda,39.711681,-105.052802,Envy,,,
west,Sheridan_&_Alameda,39.711681,-105.052766,Michoacana,span,,span
west,Sheridan_&_Alameda,39.711681,-105.052694,London Beauty Salon,engl,,span
west,Sheridan_&_Alameda,39.711681,-105.052658,Extravagance Nails & Spa,engl,,engl
west,Sheridan_&_Alameda,39.711681,-105.052563,Variedades Alameda,span,,
west,Sheridan_&_Alameda,39.711681,-105.052523,Botanica: Lectura de Cartas,span,,span
west,Sheridan_&_Alameda,39.711681,-105.052472,Dolex Money Transfer,spangl,,mix
west,Sheridan_&_Alameda,39.711681,-105.052387,Herbal Remedies,engl,,
west,Sheridan_&_Alameda,39.711681,-105.052307,Anna's Glass Service,engl,,engl
west,Sheridan_&_Alameda,39.71115,-105.052916,Burger King,engl,,engl
west,Sheridan_&_Alameda,39.71126,-105.053378,Solera National Bank,spangl,,
west,Sheridan_&_Alameda,39.71172,-105.053581,,,,engl
west,Sheridan_&_Alameda,39.712014,-105.053129,Mexican Restauraunt,engl,,engl
west,Sheridan_&_Colfax,39.740399,-105.053607,EZPawn,engl,,engl
west,Sheridan_&_Colfax,39.740754,-105.052821,Walgreens,engl,,engl
west,Sheridan_&_Colfax,39.739518,-210.106918,Laundromat,engl,,transl
west,Sheridan_&_Colfax,39.739602,-105.053459,Urban Kings Barber Studio,engl,,engl
west,Sheridan_&_Colfax,39.739699,-105.053459,MetroPCS,engl,,engl
west,Sheridan_&_Colfax,39.739835,-105.053459,7 Eleven,engl,,engl
west,Sheridan_&_Colfax,39.740267,-105.053914,Liquor,engl,,engl
west,Sheridan_&_Colfax,39.739059,-210.106118,Marley's,engl,,
west,Sheridan_&_Colfax,39.739234,-105.053059,Barber,engl,,
west,Sheridan_&_Colfax,39.739703,-105.053059,SuperAuto,engl,,engl
west,Federal_&_Mississippi,39.696444,-105.024811,Pho 96,other,,engl
west,Federal_&_Mississippi,39.696304,-105.025017,Azteca Auto Concepts,spangl,,engl
west,Federal_&_Mississippi,39.696304,-105.02502,De Parral Auto,span,,span
west,Federal_&_Mississippi,39.696883,-105.025164,Hai Qhaung Market,other,,engl
west,Federal_&_Mississippi,39.697088,-105.025002,Pho 555,other,,
west,Sheridan_&_Jewell,39.682329,-105.053654,Peerless Tires,engl,,engl
west,Sheridan_&_Jewell,39.682505,-105.05271,7 Eleven,engl,,
west,Sheridan_&_Jewell,39.683039,-105.052669,Tuoi Hac,other,,engl
west,Sheridan_&_Jewell,39.683039,-105.052669,King Wok,engl,,engl
west,Sheridan_&_Jewell,39.682032,-105.053068,Shell,engl,,
east,Colorado_&_Mississippi,39.696802,-104.940335,Pizza Hut,engl,,
east,Colorado_&_Mississippi,39.696754,-104.940117,Thai Pan,other,,engl
east,Colorado_&_Mississippi,39.696583,-104.940655,CT Nails,engl,,engl
east,Colorado_&_Mississippi,39.696412,-104.93978,Tea Street,engl,,
east,Colorado_&_Mississippi,39.696583,-104.940655,Boba Crepes,other,,
east,Colorado_&_Mississippi,39.696583,-104.940655,Smokes & Vapes,engl,,
east,Colorado_&_Mississippi,39.696583,-104.940655,Hair and Lash Salon,engl,,
